pn;nInstances;nResources;time;nRuns;median;std;bestgap;initialgap
a27g7XOR;15;7;60;2;185.0;0.0000;0.00;0.00
a27g7XOR;15;7;90;2;185.0;0.0000;0.00;0.00
a27g7XOR;15;7;180;2;185.0;0.0000;0.00;0.00
a27g7XOR;15;12;45;2;185.0;1.4142;0.54;0.54
a27g7XOR;15;12;60;2;184.0;0.0000;0.00;0.00
a27g7XOR;15;12;90;2;184.0;0.0000;0.00;0.00
a27g7XOR;15;12;180;2;184.0;0.0000;0.00;0.00
a27g7XOR;20;3;45;2;417.0;4.2426;18.80;14.09
a27g7XOR;20;3;60;2;420.0;0.0000;19.49;14.44
a27g7XOR;20;3;90;2;375.5;7.7782;6.98;2.60
a27g7XOR;20;3;180;2;365.5;4.9497;4.13;-0.14
a27g7XOR;20;5;45;2;422.5;14.8492;53.08;50.62
a27g7XOR;20;5;60;2;342.5;50.2046;24.09;23.87
a27g7XOR;20;5;90;2;328.0;59.3970;21.03;22.39
a27g7XOR;20;5;180;2;308.5;27.5772;15.11;15.98
a27g7XOR;20;7;45;2;258.5;16.2635;10.00;10.00
a27g7XOR;20;7;60;2;246.0;0.0000;4.68;4.68
a27g7XOR;20;7;90;2;253.0;7.0711;7.66;7.66
a27g7XOR;20;7;180;2;246.5;16.2635;4.89;4.89
a27g7XOR;20;12;45;2;237.5;2.1213;1.50;1.50
a27g7XOR;20;12;60;2;234.0;0.0000;0.00;0.00
a27g7XOR;20;12;90;2;234.0;0.0000;0.00;0.00
a27g7XOR;20;12;180;2;234.0;0.0000;0.00;0.00
a27g7XOR;25;3;45;2;531.0;0.0000;20.41;16.96
a27g7XOR;25;3;60;2;529.0;24.0416;21.19;16.91
a27g7XOR;25;3;90;2;493.0;24.0416;12.81;9.07
a27g7XOR;25;3;180;2;465.0;1.4142;6.53;2.99
a27g7XOR;25;5;45;2;577.5;14.8492;63.37;64.76
a27g7XOR;25;5;60;2;546.0;29.6985;55.33;52.09
a27g7XOR;25;5;90;2;557.5;13.4350;65.19;61.13
a27g7XOR;25;5;180;2;483.5;0.7071;43.47;42.42
a27g7XOR;25;7;45;2;356.0;0.0000;24.69;24.91
a27g7XOR;25;7;60;2;363.0;8.4853;27.37;27.37
a27g7XOR;25;7;90;2;333.5;14.8492;17.02;17.02
a27g7XOR;25;7;180;2;319.5;0.7071;12.11;12.11
a27g7XOR;25;12;45;2;297.5;0.7071;3.84;4.75
a27g7XOR;25;12;60;2;294.5;0.7071;3.70;3.70
a27g7XOR;25;12;90;2;288.0;0.0000;1.23;1.41
a27g7XOR;25;12;180;2;284.5;0.7071;0.18;0.18
a29g9AND;10;3;45;26;299.0;2.5973;-3.22;-0.92
a29g9AND;10;3;60;25;299.0;1.9149;-3.02;-0.88
a29g9AND;10;3;90;25;297.0;2.0232;-1.17;-1.05
a29g9AND;10;3;180;25;298.0;2.1794;0.43;-0.70
a29g9AND;10;5;45;26;172.0;1.1688;0.61;0.86
a29g9AND;10;5;60;25;172.0;1.2207;1.02;0.64
a29g9AND;10;5;90;25;171.0;1.0755;1.85;1.96
a29g9AND;10;5;180;22;170.0;0.8985;2.67;2.21
a29g9AND;10;7;45;21;163.0;0.0000;-1.38;-2.65
a29g9AND;10;7;60;19;163.0;0.0000;-1.93;-4.12
a29g9AND;10;7;90;19;163.0;0.0000;-0.49;-4.12
a29g9AND;10;7;180;19;163.0;0.0000;0.87;-4.12
a29g9AND;10;12;45;19;133.0;0.0000;-3.48;-3.48
a29g9AND;10;12;60;19;133.0;0.0000;-3.48;-3.48
a29g9AND;10;12;90;19;133.0;0.0000;-3.48;-3.48
a29g9AND;10;12;180;19;133.0;0.0000;-3.06;-3.06
a29g9AND;15;3;45;19;447.0;10.7257;-3.70;-8.52
a29g9AND;15;3;60;19;444.0;11.3444;-3.50;-9.15
a29g9AND;15;3;90;19;442.0;7.9963;-3.28;-9.47
a29g9AND;15;3;180;19;435.0;7.2789;-4.80;-4.76
a29g9AND;15;5;45;19;241.0;8.0456;-5.66;-5.37
a29g9AND;15;5;60;19;239.0;8.1893;-6.12;-5.16
a29g9AND;15;5;90;12;239.0;7.2295;-5.06;-5.06
a29g9AND;15;5;180;9;238.0;3.5978;-4.09;-3.78
a29g9AND;15;7;45;9;229.0;2.4037;-16.71;-12.18
a29g9AND;15;7;60;9;228.0;0.0000;-6.71;-11.56
a29g9AND;15;7;90;9;228.0;0.0000;-27.11;-11.15
a29g9AND;15;7;180;9;228.0;0.0000;-11.56;0.88
a29g9AND;15;12;45;9;178.0;0.0000;-15.80;-15.80
a29g9AND;15;12;60;9;178.0;0.0000;-13.76;-14.18
a29g9AND;15;12;90;9;178.0;0.0000;-5.02;-5.02
a29g9AND;15;12;180;9;178.0;0.0000;-4.81;-4.81
